Carimbo de data/hora; VOCÊ ACEITARIA PARTICIPAR DA NOSSA PESQUISA ?;Idade;POSSUI ALGUMA DEFICIÊNCIA?;Reside em Coari?;Se a resposta for não, especificar cidade:;VOCÊ SE AUTODECLARA ; RENDA FAMILIAR MENSAL (A SOMA DE TODAS AS PESSOAS QUE RECEBEM E MORAM COM VOCÊ);QUANTAS PESSOAS, INCLUINDO VOCÊ, VIVEM DA RENDA MENSAL DE SUA FAMILÍA?;NÍVEL DE ESCOLARIDADE;QUAL A NATUREZA DA INSTITUIÇÃO EM QUE VOCÊ CURSOU O ENSINO FUNDAMENTAL E MÉDIO?;VOCÊ TEM INTERESSE EM CURSAR LICENCIATURA EM PEDAGOGIA? POR QUÊ?;SE A RESPOSTA ANTERIOR FOR SIM, QUAL O TURNO;VOCÊ TERIA INTERESSE EM OUTRO CURSO? QUAL?;COMO VOCÊ AVALIA A IMPLEMENTAÇÃO DO CURSO DE LICENCIATURA EM PEDAGOGIA NO ISB?;AS UNIVERSIDADES PARTICULARES OFERTAM CURSO DE PEDAGOGIA, O QUE TE IMPEDIU DE CURSAR?
2/28/2025 17:33:06;Sim;entre 15 e 24 anos;Não;Sim;;Parda;02 a 04 salários-mínimos;5 pessoas;Médio completo;Todas em instituição pública;não ;;Enfermagem ;Muito importante;Mensalidade 
2/28/2025 17:41:16;Sim;entre 15 e 24 anos;Não;Sim;;Parda;Menos de 02 salários-mínimos;Mais de 5 pessoas;Superior incompleto;Todas em instituição pública;não tenho;;já faço enfermagem ;Muito importante;eu já fiz na particular dois períodos com bolsa de 100%. nada me impediu.
2/28/2025 17:41:51;Sim;mais de 40 anos;Não;Sim;;Preta;02 a 04 salários-mínimos;1 pessoa;Mestrado;Todas em instituição pública;Sim, tenho interesse em cursar Licenciatura em Pedagogia porque gosto da área da educação e quero contribuir para a formação de crianças e jovens. Acredito que a pedagogia me dará conhecimentos sobre metodologias de ensino, psicologia da aprendizagem e gestão educacional, preparando-me para atuar de forma eficaz na sala de aula ou em outras áreas da educação.;Noturno;Educação física;Muito importante;Questão financeiro
2/28/2025 17:41:55;Sim;entre 15 e 24 anos;Não;Sim;;Parda;Menos de 02 salários-mínimos;4 pessoas;Médio incompleto;Todas em instituição pública;Sim, pois é um curso que desperta meu interesse além de ser bastante amplo em oportunidades ;Noturno;;Muito importante;Situações financeiras 
2/28/2025 17:42:41;Sim;entre 25 e 30 anos;Não;Não;Tefé ;Preta;Menos de 02 salários-mínimos;4 pessoas;Médio completo;Todas em instituição pública;Sim, pois gostaria de trabalhar com crianças ;Vespertino;Biotecnologia ;Muito importante;Renda mensal 
2/28/2025 17:43:42;Sim;entre 15 e 24 anos;Não;Sim;;Branca;04 a 06 salários-mínimos;3 pessoas;Superior incompleto;Parte em instituição pública e parte privada;sim;Matutino;Pscicologia ;Muito importante;
2/28/2025 17:44:16;Sim;entre 25 e 30 anos;Não;Sim;;Parda;Menos de 02 salários-mínimos;4 pessoas;Médio completo;Todas em instituição pública;É uma área que me identifico muito, em relação ao ensinar e aprender!;Noturno;;Muito importante;A Renda familiar.
2/28/2025 17:44:35;Sim;entre 31 e 40 anos;Não;Sim;;Indígena;Menos de 02 salários-mínimos;5 pessoas;Médio completo;Todas em instituição pública;Sim. Um curso que sempre tive vontade de fazer;Diurno;;Muito importante;Condições financeiras 
2/28/2025 17:49:14;Sim;entre 31 e 40 anos;Não;Sim;;Parda;02 a 04 salários-mínimos;4 pessoas;Superior completo;Todas em instituição pública;Não, por que em Coari já tem demais pedagogo;;Tecnologia da informação ;Sem necessidade;Não tenho interesse 
2/28/2025 17:49:48;Sim;entre 15 e 24 anos;Não;Sim;;Preta;02 a 04 salários-mínimos;4 pessoas;Superior completo;Todas em instituição pública;Não. Não acho um curso atrativo quanto aos que já estão no ISB. Mas concordo que a uma demanda de procura pra esse curso, e mais ainda para o curso de Educação física.;Diurno;Educação Física ;Indiferente;
2/28/2025 17:50:59;Sim;entre 15 e 24 anos;Não;Não;Alvarães;Parda;Menos de 02 salários-mínimos;5 pessoas;Superior incompleto;Todas em instituição pública;Não tenho interesse;;Educação Física ;Importante;
2/28/2025 17:51:39;Sim;entre 25 e 30 anos;Não;Sim;;Indígena;Menos de 02 salários-mínimos;2 pessoas;Médio completo;Todas em instituição pública;Não;;Fonoaudiologia;Muito importante;
2/28/2025 17:52:23;Sim;entre 25 e 30 anos;Não;Não;Tefé-Am ;Parda;Menos de 02 salários-mínimos;4 pessoas;Superior completo;Todas em instituição pública;"

Quero trabalhar com pedagogia porque acredito que a educação transforma vidas. Tenho paixão por ensinar e desejo ajudar as crianças a desenvolver seu potencial em um ambiente inclusivo e inspirador";Diurno;Biotecnologia ;Muito importante;Varios montivos um deles a minha renda 
2/28/2025 17:52:56;Sim;entre 31 e 40 anos;Não;Sim;;Parda;Menos de 02 salários-mínimos;4 pessoas;Médio completo;Todas em instituição pública;E a ária que me indentifico;Noturno;Administração ;Muito importante;Nao
2/28/2025 17:54:05;Sim;mais de 40 anos;Não;Sim;Coari;Parda;02 a 04 salários-mínimos;1 pessoa;Superior completo;Todas em instituição pública;Sim, profissão ;Noturno;Psicologia ;Muito importante;Falta de recurso
2/28/2025 17:55:00;Sim;mais de 40 anos;Não;Sim;;Parda;Menos de 02 salários-mínimos;4 pessoas;Superior completo;Todas em instituição pública;Quero trabalhar com ensino fundamental I;Noturno;Educação Especial ;Muito importante;Sem renda 
2/28/2025 17:58:22;Sim;entre 25 e 30 anos;Não;Sim;;Parda;Menos de 02 salários-mínimos;Mais de 5 pessoas;Superior incompleto;Todas em instituição pública;Porque eu dou aula para crianças e jovens na minha igreja, isso me despertou o interesse pela área.;Noturno;Enfermagem ou medicina ;Muito importante;Nao tenho recurso para pagar o curso.
2/28/2025 18:04:39;Sim;entre 25 e 30 anos;Não;Sim;;Parda;Menos de 02 salários-mínimos;4 pessoas;Superior completo;Todas em instituição pública;Sim. É uma área que abre grande leque de oportunidades, e seria um complemento pra que é formado em área específica. ;Noturno;Educação física ;Muito importante;O auto valor da mensalidade. 
2/28/2025 18:05:25;Sim;entre 31 e 40 anos;Não;Sim;;Indígena;02 a 04 salários-mínimos;4 pessoas;Superior completo;Todas em instituição pública;Não ;;Sim;Sem necessidade;Ja cursei 
2/28/2025 18:07:50;Sim;entre 31 e 40 anos;Não;Sim;;Parda;Menos de 02 salários-mínimos;4 pessoas;Superior completo;Todas em instituição pública;Não, mas minha esposa sim. ;Noturno;Odontologia;Muito importante;Sim, os valores comprados. 
2/28/2025 18:12:16;Sim;entre 25 e 30 anos;Não;Sim;;Parda;Menos de 02 salários-mínimos;5 pessoas;Médio completo;Todas em instituição pública;ME INDENTIFICO COM A ÁREA ;Noturno;PSICOLOGIA ;Muito importante;Dificuldade financeira 
2/28/2025 18:13:58;Sim;entre 31 e 40 anos;Não;Sim;;Parda;Menos de 02 salários-mínimos;3 pessoas;Superior incompleto;Todas em instituição pública;Ser pedagoga;Noturno;;Muito importante;Não tenho dinheiro pra mensalidade
2/28/2025 18:15:08;Sim;entre 15 e 24 anos;Não;Sim;;Parda;Menos de 02 salários-mínimos;4 pessoas;Superior incompleto;Todas em instituição pública;Sim, pois o curso ajudará muita na educação na região norte do país... como vemos tem uma escassez de profissionais na área ;Diurno;Psicologia ;Importante;Renda da familia foi insuficiente para os gastos mensais 
2/28/2025 18:15:59;Sim;entre 15 e 24 anos;Não;Sim;;Branca;02 a 04 salários-mínimos;5 pessoas;Médio completo;Parte em instituição pública e parte privada;sim,porque adoro a área relacionada ao ensino ;Noturno;licenciatura em biologia e química;Muito importante;falta de renda
2/28/2025 18:17:44;Sim;entre 15 e 24 anos;Não;Sim;;Indígena;Menos de 02 salários-mínimos;Mais de 5 pessoas;Superior incompleto;Todas em instituição pública;Sim, pois irá complementar minha carreira profissional na área da educação. Assim como também ira me ajudar meu desenvolvimento e compreender melhor os deveres de ser um profissional da educação.;Noturno;Sim, logística ou administração;Muito importante;Horário, valor da mensalidade elevado e baixa qualidade de ensino
2/28/2025 18:18:22;Sim;entre 31 e 40 anos;Não;Sim;;Parda;Menos de 02 salários-mínimos;3 pessoas;Superior incompleto;Todas em instituição pública;SIM;Noturno;NAO;Muito importante;A TAXA DA MENSALIDADE, OU CONDIÇÕES PARA PAGAR.
2/28/2025 18:18:50;Sim;mais de 40 anos;Não;Sim;;Parda;02 a 04 salários-mínimos;3 pessoas;Superior incompleto;Todas em instituição pública;Sim! Porque para uma oportunidade de Emprego ;Noturno;Comunicação Social;Muito importante;O finaceiro
2/28/2025 18:20:17;Sim;entre 25 e 30 anos;Não;Sim;;Parda;02 a 04 salários-mínimos;3 pessoas;Mestrado;Todas em instituição pública;Interesse na área educacional ;Noturno;Educação física ;Muito importante;
2/28/2025 18:22:39;Sim;entre 31 e 40 anos;Não;Sim;;Parda;02 a 04 salários-mínimos;2 pessoas;Superior completo;Todas em instituição pública;Sim. Novos cursos sempre são bem vindos. Pode agregar muito na vida das pessoas. Trazer novas experiências e contribuir muito com a sociedade.;Noturno;Teria em cursos de pós-graduação. ;Importante;
2/28/2025 18:28:05;Sim;mais de 40 anos;Não;Sim;;Parda;Menos de 02 salários-mínimos;1 pessoa;Superior completo;Todas em instituição pública;Sim;Noturno;História;Muito importante;São todos EAD
2/28/2025 18:36:29;Sim;entre 15 e 24 anos;Não;Sim;;Parda;Menos de 02 salários-mínimos;4 pessoas;Médio incompleto;Todas em instituição pública;Não ;;Sim, farmácia ;Pouco relevante;Muitas ofertam mas optei por outra licenciatura 
2/28/2025 18:47:28;Sim;entre 15 e 24 anos;Não;Sim;;Indígena;Menos de 02 salários-mínimos;2 pessoas;Médio completo;Todas em instituição pública;Não ;;Sim, odontologia ;Pouco relevante;Não queria cursar 
2/28/2025 18:49:28;Sim;entre 15 e 24 anos;Não;Sim;;Parda;Menos de 02 salários-mínimos;3 pessoas;Médio completo;Todas em instituição pública;Não, mas gostaria que a universidade ofertasse esse curso, pois abrirá mais oportunidades para a educação ;;Design ;Muito importante;Eu apenas queria fisioterapia na Ufam mesmo, mas pedagogia é uma ótima oportunidade 
2/28/2025 18:52:35;Sim;mais de 40 anos;Não;Sim;;Parda;Menos de 02 salários-mínimos;3 pessoas;Superior completo;Todas em instituição pública;Sim;Noturno;TI;Muito importante;O recurso financeiro e pela forma de ser a distância. Ainda sou do tempo de participa da aula interagir com o professor.
2/28/2025 19:07:34;Sim;entre 15 e 24 anos;Não;Sim;;Indígena;02 a 04 salários-mínimos;Mais de 5 pessoas;Superior incompleto;Todas em instituição pública;Sim;Diurno;Educação física ;Muito importante;Dinheiro
2/28/2025 19:16:25;Sim;entre 25 e 30 anos;Não;Sim;;Parda;Menos de 02 salários-mínimos;4 pessoas;Superior completo;Todas em instituição pública;Sim, sempre tiver interesse em cursar pedagogia pois ela pois ela tem várias áreas de atuação no mercado de trabalho.;Noturno;Psicologia, odontologia e gestão financeira.;Muito importante;Questão financeira.
2/28/2025 19:23:50;Sim;entre 31 e 40 anos;Não;Sim;;Parda;Menos de 02 salários-mínimos;2 pessoas;Superior completo;Todas em instituição pública;Não, primeiro no município tem muitos pedagogos desempregados, além  disso, muitas instituições oferecem esse curso no município.;;Psicologia.;Pouco relevante;Falta de interesse msm.
2/28/2025 19:34:28;Sim;entre 15 e 24 anos;Não;Sim;;Parda;Menos de 02 salários-mínimos;3 pessoas;Superior incompleto;Todas em instituição pública;Não, no momento estou cursando outro curso;;;Importante;Pedagogia nunca foi meu sonho, sempre me interessei mais pela área da saúde.
2/28/2025 19:38:25;Sim;entre 31 e 40 anos;Não;Sim;;Parda;04 a 06 salários-mínimos;3 pessoas;Superior completo;Todas em instituição pública;Acho que seria importante para o Município, temos carência de pedagogo. ;Noturno;Psicologia;Muito importante;Geralmente o que impede é valor da mensalidade
2/28/2025 19:46:28;Sim;entre 25 e 30 anos;Não;Não;Anamã-Am;Parda;Menos de 02 salários-mínimos;Mais de 5 pessoas;Superior completo;Todas em instituição pública;Sim, pois acredito que seja uma área que irá complementar a área no qual sou formado: professor de matemática e física. ;Noturno;Sim, Astronomia.;Muito importante;A falta de dinheiro e auxílios são os principais fatores.
2/28/2025 19:55:11;Sim;entre 15 e 24 anos;Não;Sim;;Parda;Menos de 02 salários-mínimos;4 pessoas;Superior incompleto;Todas em instituição pública;Não, pois já estou fazendo uma outra graduação.;;;Importante;Sim, mas faculdade não era uma opção.
